Instances: 300, Iterations: 500, KeepBest: 30, KeepWorst: 21, Cross: 30, MutationFactor: 0.001, MaxClauses: 40
Input file: instances/_uf250-00.cnf
Gen: 0, BestSol: 1570, BestFeasibleSol: 1570, GenAvgValue: 1357.77
Gen: 10, BestSol: 1734, BestFeasibleSol: 1734, GenAvgValue: 1686.26
Gen: 20, BestSol: 1734, BestFeasibleSol: 1734, GenAvgValue: 1686.26
Gen: 30, BestSol: 1734, BestFeasibleSol: 1734, GenAvgValue: 1686.26
Gen: 40, BestSol: 1749, BestFeasibleSol: 1749, GenAvgValue: 1700.06
Gen: 50, BestSol: 1777, BestFeasibleSol: 1777, GenAvgValue: 1726.25
Gen: 60, BestSol: 1777, BestFeasibleSol: 1777, GenAvgValue: 1726.25
Gen: 70, BestSol: 1784, BestFeasibleSol: 1784, GenAvgValue: 1732.76
Gen: 80, BestSol: 1784, BestFeasibleSol: 1784, GenAvgValue: 1732.76
Gen: 90, BestSol: 1792, BestFeasibleSol: 1792, GenAvgValue: 1739.9
Gen: 100, BestSol: 1792, BestFeasibleSol: 1792, GenAvgValue: 1740.2
Gen: 110, BestSol: 1838, BestFeasibleSol: 1838, GenAvgValue: 1782.98
Gen: 120, BestSol: 1881, BestFeasibleSol: 1881, GenAvgValue: 1822.97
Gen: 130, BestSol: 1881, BestFeasibleSol: 1881, GenAvgValue: 1822.97
Gen: 140, BestSol: 1881, BestFeasibleSol: 1881, GenAvgValue: 1822.97
Gen: 150, BestSol: 1931, BestFeasibleSol: 1931, GenAvgValue: 1869.47
Gen: 160, BestSol: 1983, BestFeasibleSol: 1983, GenAvgValue: 1915.99
Gen: 170, BestSol: 1991, BestFeasibleSol: 1991, GenAvgValue: 1925.27
Gen: 180, BestSol: 1991, BestFeasibleSol: 1991, GenAvgValue: 1925.27
Gen: 190, BestSol: 2020, BestFeasibleSol: 2020, GenAvgValue: 1952.24
Gen: 200, BestSol: 2020, BestFeasibleSol: 2020, GenAvgValue: 1952.24
Gen: 210, BestSol: 2033, BestFeasibleSol: 2033, GenAvgValue: 1964.33
Gen: 220, BestSol: 2079, BestFeasibleSol: 2079, GenAvgValue: 2007.11
Gen: 230, BestSol: 2079, BestFeasibleSol: 2079, GenAvgValue: 2007.11
Gen: 240, BestSol: 2079, BestFeasibleSol: 2079, GenAvgValue: 2007.11
Gen: 250, BestSol: 2079, BestFeasibleSol: 2079, GenAvgValue: 2007.11
Gen: 260, BestSol: 2087, BestFeasibleSol: 2087, GenAvgValue: 2007.7
Gen: 270, BestSol: 2087, BestFeasibleSol: 2087, GenAvgValue: 2014.55
Gen: 280, BestSol: 2087, BestFeasibleSol: 2087, GenAvgValue: 2014.55
Gen: 290, BestSol: 2087, BestFeasibleSol: 2087, GenAvgValue: 2014.53
Gen: 300, BestSol: 2126, BestFeasibleSol: 2126, GenAvgValue: 2050.82
Gen: 310, BestSol: 2126, BestFeasibleSol: 2126, GenAvgValue: 2050.73
Gen: 320, BestSol: 2126, BestFeasibleSol: 2126, GenAvgValue: 2050.82
Gen: 330, BestSol: 2126, BestFeasibleSol: 2126, GenAvgValue: 2050.82
Gen: 340, BestSol: 2154, BestFeasibleSol: 2154, GenAvgValue: 2076.86
Gen: 350, BestSol: 2154, BestFeasibleSol: 2154, GenAvgValue: 2076.86
Gen: 360, BestSol: 2154, BestFeasibleSol: 2154, GenAvgValue: 2076.81
Gen: 370, BestSol: 2154, BestFeasibleSol: 2154, GenAvgValue: 2076.86
Gen: 380, BestSol: 2154, BestFeasibleSol: 2154, GenAvgValue: 2076.86
Gen: 390, BestSol: 2154, BestFeasibleSol: 2154, GenAvgValue: 2076.86
Gen: 400, BestSol: 2154, BestFeasibleSol: 2154, GenAvgValue: 2076.86
Gen: 410, BestSol: 2196, BestFeasibleSol: 2196, GenAvgValue: 2115.79
Gen: 420, BestSol: 2196, BestFeasibleSol: 2196, GenAvgValue: 2115.92
Gen: 430, BestSol: 2196, BestFeasibleSol: 2196, GenAvgValue: 2115.92
Gen: 440, BestSol: 2214, BestFeasibleSol: 2214, GenAvgValue: 2132.56
