Instances: 100, Iterations: 500, KeepBest: 10, KeepWorst: 7, Cross: 7, MutationFactor: 0.001, MaxClauses: 40
Input file: instances/_uf250-00.cnf
Gen: 0, BestSol: 1639, BestFeasibleSol: 0, GenAvgValue: 1242.97
Gen: 10, BestSol: 1765, BestFeasibleSol: 0, GenAvgValue: 1707.19
Gen: 20, BestSol: 1765, BestFeasibleSol: 0, GenAvgValue: 1707.19
Gen: 30, BestSol: 1765, BestFeasibleSol: 0, GenAvgValue: 1707.19
Gen: 40, BestSol: 1765, BestFeasibleSol: 0, GenAvgValue: 1707.19
Gen: 50, BestSol: 1765, BestFeasibleSol: 0, GenAvgValue: 1707.19
Gen: 60, BestSol: 1765, BestFeasibleSol: 0, GenAvgValue: 1707.19
Gen: 70, BestSol: 1777, BestFeasibleSol: 0, GenAvgValue: 1718.35
Gen: 80, BestSol: 1777, BestFeasibleSol: 0, GenAvgValue: 1718.06
Gen: 90, BestSol: 1777, BestFeasibleSol: 0, GenAvgValue: 1718.35
Gen: 100, BestSol: 1777, BestFeasibleSol: 0, GenAvgValue: 1718.35
Gen: 110, BestSol: 1790, BestFeasibleSol: 0, GenAvgValue: 1730.44
Gen: 120, BestSol: 1790, BestFeasibleSol: 0, GenAvgValue: 1730.44
Gen: 130, BestSol: 1834, BestFeasibleSol: 0, GenAvgValue: 1771.36
Gen: 140, BestSol: 1834, BestFeasibleSol: 0, GenAvgValue: 1771.36
Gen: 150, BestSol: 1862, BestFeasibleSol: 0, GenAvgValue: 1797.4
Gen: 160, BestSol: 1862, BestFeasibleSol: 0, GenAvgValue: 1797.4
Gen: 170, BestSol: 1862, BestFeasibleSol: 0, GenAvgValue: 1797.4
Gen: 180, BestSol: 1862, BestFeasibleSol: 0, GenAvgValue: 1797.4
Gen: 190, BestSol: 1862, BestFeasibleSol: 0, GenAvgValue: 1797.2
Gen: 200, BestSol: 1862, BestFeasibleSol: 0, GenAvgValue: 1797.4
Gen: 210, BestSol: 1884, BestFeasibleSol: 0, GenAvgValue: 1798.94
Gen: 220, BestSol: 1884, BestFeasibleSol: 0, GenAvgValue: 1817.86
Gen: 230, BestSol: 1884, BestFeasibleSol: 0, GenAvgValue: 1817.86
Gen: 240, BestSol: 1884, BestFeasibleSol: 0, GenAvgValue: 1817.86
Gen: 250, BestSol: 1884, BestFeasibleSol: 0, GenAvgValue: 1817.86
Gen: 260, BestSol: 1884, BestFeasibleSol: 0, GenAvgValue: 1817.86
Gen: 270, BestSol: 1912, BestFeasibleSol: 0, GenAvgValue: 1843.9
Gen: 280, BestSol: 1912, BestFeasibleSol: 0, GenAvgValue: 1843.9
Gen: 290, BestSol: 1916, BestFeasibleSol: 0, GenAvgValue: 1847.62
Gen: 300, BestSol: 1925, BestFeasibleSol: 0, GenAvgValue: 1855.99
Gen: 310, BestSol: 1925, BestFeasibleSol: 0, GenAvgValue: 1855.99
Gen: 320, BestSol: 1925, BestFeasibleSol: 0, GenAvgValue: 1855.99
Gen: 330, BestSol: 1925, BestFeasibleSol: 0, GenAvgValue: 1855.99
Gen: 340, BestSol: 1925, BestFeasibleSol: 0, GenAvgValue: 1855.99
Gen: 350, BestSol: 1925, BestFeasibleSol: 0, GenAvgValue: 1855.99
Gen: 360, BestSol: 1928, BestFeasibleSol: 0, GenAvgValue: 1857.73
Gen: 370, BestSol: 1928, BestFeasibleSol: 0, GenAvgValue: 1858.78
Gen: 380, BestSol: 1928, BestFeasibleSol: 0, GenAvgValue: 1858.78
Gen: 390, BestSol: 1928, BestFeasibleSol: 0, GenAvgValue: 1858.78
Gen: 400, BestSol: 1975, BestFeasibleSol: 0, GenAvgValue: 1902.49
Gen: 410, BestSol: 2010, BestFeasibleSol: 0, GenAvgValue: 1935.04
Gen: 420, BestSol: 2010, BestFeasibleSol: 0, GenAvgValue: 1935.04
Gen: 430, BestSol: 2010, BestFeasibleSol: 0, GenAvgValue: 1935.04
Gen: 440, BestSol: 2039, BestFeasibleSol: 0, GenAvgValue: 1961.6
Gen: 450, BestSol: 2039, BestFeasibleSol: 0, GenAvgValue: 1961.6
Gen: 460, BestSol: 2039, BestFeasibleSol: 0, GenAvgValue: 1961.6
Gen: 470, BestSol: 2039, BestFeasibleSol: 0, GenAvgValue: 1961.6
Gen: 480, BestSol: 2039, BestFeasibleSol: 0, GenAvgValue: 1961.6
Gen: 490, BestSol: 2039, BestFeasibleSol: 0, GenAvgValue: 1961.6
Total best: 0
FirstFeasibleIteration: 0
Time: 0.079036
Input file: instances/_uf250-01.cnf
Gen: 0, BestSol: 1647, BestFeasibleSol: 0, GenAvgValue: 1191.84
Gen: 10, BestSol: 1869, BestFeasibleSol: 0, GenAvgValue: 1802.59
Gen: 20, BestSol: 1869, BestFeasibleSol: 0, GenAvgValue: 1802.59
Gen: 30, BestSol: 1869, BestFeasibleSol: 0, GenAvgValue: 1802.59
Gen: 40, BestSol: 1869, BestFeasibleSol: 0, GenAvgValue: 1802.59
Gen: 50, BestSol: 1880, BestFeasibleSol: 0, GenAvgValue: 1812.82
Gen: 60, BestSol: 1880, BestFeasibleSol: 0, GenAvgValue: 1812.82
Gen: 70, BestSol: 1912, BestFeasibleSol: 0, GenAvgValue: 1835.82
Gen: 80, BestSol: 1912, BestFeasibleSol: 0, GenAvgValue: 1842.58
Gen: 90, BestSol: 1912, BestFeasibleSol: 0, GenAvgValue: 1842.58
Gen: 100, BestSol: 1912, BestFeasibleSol: 0, GenAvgValue: 1842.58
Gen: 110, BestSol: 1912, BestFeasibleSol: 0, GenAvgValue: 1842.58
Gen: 120, BestSol: 1912, BestFeasibleSol: 0, GenAvgValue: 1842.58
Gen: 130, BestSol: 1912, BestFeasibleSol: 0, GenAvgValue: 1842.58
Gen: 140, BestSol: 1912, BestFeasibleSol: 0, GenAvgValue: 1842.58
Gen: 150, BestSol: 1912, BestFeasibleSol: 0, GenAvgValue: 1842.58
Gen: 160, BestSol: 1937, BestFeasibleSol: 0, GenAvgValue: 1859.35
Gen: 170, BestSol: 1937, BestFeasibleSol: 0, GenAvgValue: 1865.83
Gen: 180, BestSol: 1937, BestFeasibleSol: 0, GenAvgValue: 1865.83
Gen: 190, BestSol: 1937, BestFeasibleSol: 0, GenAvgValue: 1865.83
Gen: 200, BestSol: 1937, BestFeasibleSol: 0, GenAvgValue: 1865.83
Gen: 210, BestSol: 1954, BestFeasibleSol: 0, GenAvgValue: 1881.64
Gen: 220, BestSol: 1954, BestFeasibleSol: 0, GenAvgValue: 1881.64
Gen: 230, BestSol: 1954, BestFeasibleSol: 0, GenAvgValue: 1881.64
Gen: 240, BestSol: 1954, BestFeasibleSol: 0, GenAvgValue: 1881.64
Gen: 250, BestSol: 1954, BestFeasibleSol: 0, GenAvgValue: 1881.64
Gen: 260, BestSol: 1954, BestFeasibleSol: 0, GenAvgValue: 1881.64
Gen: 270, BestSol: 1973, BestFeasibleSol: 0, GenAvgValue: 1899.31
Gen: 280, BestSol: 1973, BestFeasibleSol: 0, GenAvgValue: 1899.31
Gen: 290, BestSol: 1973, BestFeasibleSol: 0, GenAvgValue: 1899.31
Gen: 300, BestSol: 1973, BestFeasibleSol: 0, GenAvgValue: 1899.31
Gen: 310, BestSol: 1973, BestFeasibleSol: 0, GenAvgValue: 1899.31
Gen: 320, BestSol: 1981, BestFeasibleSol: 0, GenAvgValue: 1903.71
Gen: 330, BestSol: 1981, BestFeasibleSol: 0, GenAvgValue: 1906.75
Gen: 340, BestSol: 1981, BestFeasibleSol: 0, GenAvgValue: 1906.75
Gen: 350, BestSol: 1981, BestFeasibleSol: 0, GenAvgValue: 1906.75
Gen: 360, BestSol: 1981, BestFeasibleSol: 0, GenAvgValue: 1906.41
Gen: 370, BestSol: 1981, BestFeasibleSol: 0, GenAvgValue: 1906.75
Gen: 380, BestSol: 1981, BestFeasibleSol: 0, GenAvgValue: 1906.75
Gen: 390, BestSol: 1981, BestFeasibleSol: 0, GenAvgValue: 1906.75
Gen: 400, BestSol: 2030, BestFeasibleSol: 0, GenAvgValue: 1952.32
Gen: 410, BestSol: 2030, BestFeasibleSol: 0, GenAvgValue: 1952.32
Gen: 420, BestSol: 2030, BestFeasibleSol: 0, GenAvgValue: 1952.32
Gen: 430, BestSol: 2030, BestFeasibleSol: 0, GenAvgValue: 1952.32
Gen: 440, BestSol: 2030, BestFeasibleSol: 0, GenAvgValue: 1952.32
Gen: 450, BestSol: 2030, BestFeasibleSol: 0, GenAvgValue: 1952.32
Gen: 460, BestSol: 2030, BestFeasibleSol: 0, GenAvgValue: 1952.32
Gen: 470, BestSol: 2030, BestFeasibleSol: 0, GenAvgValue: 1952.32
Gen: 480, BestSol: 2030, BestFeasibleSol: 0, GenAvgValue: 1952.32
Gen: 490, BestSol: 2030, BestFeasibleSol: 0, GenAvgValue: 1952.32
Total best: 0
FirstFeasibleIteration: 0
Time: 0.075305
Input file: instances/_uf250-02.cnf
Gen: 0, BestSol: 1477, BestFeasibleSol: 1477, GenAvgValue: 1182.83
Gen: 10, BestSol: 1478, BestFeasibleSol: 1478, GenAvgValue: 1438.46
Gen: 20, BestSol: 1478, BestFeasibleSol: 1478, GenAvgValue: 1438.46
Gen: 30, BestSol: 1478, BestFeasibleSol: 1478, GenAvgValue: 1438.46
Gen: 40, BestSol: 1488, BestFeasibleSol: 1488, GenAvgValue: 1447.76
Gen: 50, BestSol: 1488, BestFeasibleSol: 1488, GenAvgValue: 1447.76
Gen: 60, BestSol: 1488, BestFeasibleSol: 1488, GenAvgValue: 1447.76
Gen: 70, BestSol: 1488, BestFeasibleSol: 1488, GenAvgValue: 1447.76
Gen: 80, BestSol: 1526, BestFeasibleSol: 1526, GenAvgValue: 1450.42
Gen: 90, BestSol: 1526, BestFeasibleSol: 1526, GenAvgValue: 1483.1
