Instances: 300, Iterations: 800, KeepBest: 30, KeepWorst: 21, Cross: 21, MutationFactor: 0.001, MaxClauses: 40
Input file: instances/_uf250-00.cnf
Gen: 0, BestSol: 1336, BestFeasibleSol: 1336, GenAvgValue: 1306.46
Gen: 10, BestSol: 1412, BestFeasibleSol: 1412, GenAvgValue: 1356.15
Gen: 20, BestSol: 1462, BestFeasibleSol: 1462, GenAvgValue: 1431.12
Gen: 30, BestSol: 1483, BestFeasibleSol: 1483, GenAvgValue: 1450.61
Gen: 40, BestSol: 1483, BestFeasibleSol: 1483, GenAvgValue: 1450.65
Gen: 50, BestSol: 1483, BestFeasibleSol: 1483, GenAvgValue: 1450.65
Gen: 60, BestSol: 1483, BestFeasibleSol: 1483, GenAvgValue: 1450.65
Gen: 70, BestSol: 1488, BestFeasibleSol: 1488, GenAvgValue: 1455.04
Gen: 80, BestSol: 1500, BestFeasibleSol: 1500, GenAvgValue: 1466.46
Gen: 90, BestSol: 1545, BestFeasibleSol: 1545, GenAvgValue: 1508.31
Gen: 100, BestSol: 1545, BestFeasibleSol: 1545, GenAvgValue: 1508.31
Gen: 110, BestSol: 1545, BestFeasibleSol: 1545, GenAvgValue: 1508.31
Gen: 120, BestSol: 1546, BestFeasibleSol: 1546, GenAvgValue: 1509.4
Gen: 130, BestSol: 1546, BestFeasibleSol: 1546, GenAvgValue: 1509.24
Gen: 140, BestSol: 1546, BestFeasibleSol: 1546, GenAvgValue: 1509.24
Gen: 150, BestSol: 1594, BestFeasibleSol: 1594, GenAvgValue: 1509.4
Gen: 160, BestSol: 1646, BestFeasibleSol: 1646, GenAvgValue: 1602.24
Gen: 170, BestSol: 1646, BestFeasibleSol: 1646, GenAvgValue: 1602.24
Gen: 180, BestSol: 1673, BestFeasibleSol: 1673, GenAvgValue: 1625.64
Gen: 190, BestSol: 1673, BestFeasibleSol: 1673, GenAvgValue: 1627.35
Gen: 200, BestSol: 1673, BestFeasibleSol: 1673, GenAvgValue: 1627.35
Gen: 210, BestSol: 1673, BestFeasibleSol: 1673, GenAvgValue: 1627.35
Gen: 220, BestSol: 1673, BestFeasibleSol: 1673, GenAvgValue: 1627.35
Gen: 230, BestSol: 1677, BestFeasibleSol: 1677, GenAvgValue: 1631.07
Gen: 240, BestSol: 1677, BestFeasibleSol: 1677, GenAvgValue: 1631.07
Gen: 250, BestSol: 1677, BestFeasibleSol: 1677, GenAvgValue: 1631.07
Gen: 260, BestSol: 1677, BestFeasibleSol: 1677, GenAvgValue: 1631.07
Gen: 270, BestSol: 1677, BestFeasibleSol: 1677, GenAvgValue: 1631.07
Gen: 280, BestSol: 1677, BestFeasibleSol: 1677, GenAvgValue: 1631.07
Gen: 290, BestSol: 1677, BestFeasibleSol: 1677, GenAvgValue: 1631.07
Gen: 300, BestSol: 1677, BestFeasibleSol: 1677, GenAvgValue: 1631
Gen: 310, BestSol: 1694, BestFeasibleSol: 1694, GenAvgValue: 1646.88
Gen: 320, BestSol: 1694, BestFeasibleSol: 1694, GenAvgValue: 1646.88
Gen: 330, BestSol: 1709, BestFeasibleSol: 1709, GenAvgValue: 1660.97
Gen: 340, BestSol: 1736, BestFeasibleSol: 1736, GenAvgValue: 1685.94
Gen: 350, BestSol: 1737, BestFeasibleSol: 1737, GenAvgValue: 1686.87
