Instances: 300, Iterations: 500, KeepBest: 150, KeepWorst: 21, Cross: 21, MutationFactor: 0.001, MaxClauses: 40
Input file: instances/_uf250-00.cnf
Gen: 0, BestSol: 1339, BestFeasibleSol: 1339, GenAvgValue: 1215.21
Gen: 10, BestSol: 1365, BestFeasibleSol: 1365, GenAvgValue: 1311.17
Gen: 20, BestSol: 1398, BestFeasibleSol: 1398, GenAvgValue: 1365.96
Gen: 30, BestSol: 1439, BestFeasibleSol: 1439, GenAvgValue: 1367.6
Gen: 40, BestSol: 1439, BestFeasibleSol: 1439, GenAvgValue: 1404.09
Gen: 50, BestSol: 1439, BestFeasibleSol: 1439, GenAvgValue: 1404.09
Gen: 60, BestSol: 1439, BestFeasibleSol: 1439, GenAvgValue: 1404.09
Gen: 70, BestSol: 1458, BestFeasibleSol: 1458, GenAvgValue: 1412
Gen: 80, BestSol: 1458, BestFeasibleSol: 1458, GenAvgValue: 1421.76
Gen: 90, BestSol: 1458, BestFeasibleSol: 1458, GenAvgValue: 1421.76
Gen: 100, BestSol: 1458, BestFeasibleSol: 1458, GenAvgValue: 1421.76
Gen: 110, BestSol: 1458, BestFeasibleSol: 1458, GenAvgValue: 1421.76
Gen: 120, BestSol: 1507, BestFeasibleSol: 1507, GenAvgValue: 1465.55
Gen: 130, BestSol: 1507, BestFeasibleSol: 1507, GenAvgValue: 1467.33
Gen: 140, BestSol: 1565, BestFeasibleSol: 1565, GenAvgValue: 1502.78
Gen: 150, BestSol: 1565, BestFeasibleSol: 1565, GenAvgValue: 1521.27
Gen: 160, BestSol: 1565, BestFeasibleSol: 1565, GenAvgValue: 1521.27
Gen: 170, BestSol: 1565, BestFeasibleSol: 1565, GenAvgValue: 1521.27
Gen: 180, BestSol: 1591, BestFeasibleSol: 1591, GenAvgValue: 1545.45
Gen: 190, BestSol: 1591, BestFeasibleSol: 1591, GenAvgValue: 1545.45
Gen: 200, BestSol: 1609, BestFeasibleSol: 1609, GenAvgValue: 1562.19
Gen: 210, BestSol: 1609, BestFeasibleSol: 1609, GenAvgValue: 1562.19
Gen: 220, BestSol: 1609, BestFeasibleSol: 1609, GenAvgValue: 1562.19
