Instances: 300, Iterations: 500, KeepBest: 30, KeepWorst: 21, Cross: 21, MutationFactor: 0.25, MaxClauses: 40
Input file: instances/_uf250-00.cnf
Gen: 0, BestSol: 1091, BestFeasibleSol: 1091, GenAvgValue: 1044.87
Gen: 10, BestSol: 1578, BestFeasibleSol: 1578, GenAvgValue: 1423.91
Gen: 20, BestSol: 1794, BestFeasibleSol: 1794, GenAvgValue: 1701.63
Gen: 30, BestSol: 1981, BestFeasibleSol: 1981, GenAvgValue: 1866.23
Gen: 40, BestSol: 2033, BestFeasibleSol: 2033, GenAvgValue: 1941.22
Gen: 50, BestSol: 2039, BestFeasibleSol: 2039, GenAvgValue: 1949.67
Gen: 60, BestSol: 2039, BestFeasibleSol: 2039, GenAvgValue: 1950.44
Gen: 70, BestSol: 2039, BestFeasibleSol: 2039, GenAvgValue: 1948.97
Gen: 80, BestSol: 2039, BestFeasibleSol: 2039, GenAvgValue: 1949.73
Gen: 90, BestSol: 2039, BestFeasibleSol: 2039, GenAvgValue: 1950.45
Gen: 100, BestSol: 2039, BestFeasibleSol: 2039, GenAvgValue: 1949.13
Gen: 110, BestSol: 2039, BestFeasibleSol: 2039, GenAvgValue: 1949.47
Gen: 120, BestSol: 2039, BestFeasibleSol: 2039, GenAvgValue: 1950.28
Gen: 130, BestSol: 2039, BestFeasibleSol: 2039, GenAvgValue: 1949.88
Gen: 140, BestSol: 2039, BestFeasibleSol: 2039, GenAvgValue: 1949.86
Gen: 150, BestSol: 2039, BestFeasibleSol: 2039, GenAvgValue: 1948.83
Gen: 160, BestSol: 2039, BestFeasibleSol: 2039, GenAvgValue: 1950.75
Gen: 170, BestSol: 2039, BestFeasibleSol: 2039, GenAvgValue: 1950.66
Gen: 180, BestSol: 2039, BestFeasibleSol: 2039, GenAvgValue: 1950.09
Gen: 190, BestSol: 2039, BestFeasibleSol: 2039, GenAvgValue: 1949.56
Gen: 200, BestSol: 2039, BestFeasibleSol: 2039, GenAvgValue: 1949.6
Gen: 210, BestSol: 2039, BestFeasibleSol: 2039, GenAvgValue: 1948.98
Gen: 220, BestSol: 2039, BestFeasibleSol: 2039, GenAvgValue: 1948.99
Gen: 230, BestSol: 2039, BestFeasibleSol: 2039, GenAvgValue: 1948.84
Gen: 240, BestSol: 2039, BestFeasibleSol: 2039, GenAvgValue: 1948.74
