Exponent granularity	Prům. čas (s) - větve a hranice	Prům. čas (s) - dyn. prog.	Prům. čas (s) - apx. řešení	Prům. rel. chyba (%) apx. řeš
0.50	0.28158081	226.50599492	0.00488261	0.0011791988326
0.75	0.26375986	233.76118482	0.00493457	0.0007671525767
1.00	0.26447633	227.37013432	0.00495112	0.0010200065375
1.25	0.27257981	227.96693182	0.00497631	0.0015102583001
1.50	0.27768839	230.92125294	0.00499730	0.0012160762139
1.75	0.25806840	231.08079722	0.00501320	0.0012078109880
2.00	0.25602923	231.52278748	0.00503388	0.0008447403545
2.25	0.25053371	229.21086696	0.00503449	0.0006121596425
2.50	0.26088582	223.88256982	0.00501636	0.0011047859283
2.75	0.24947558	222.92368614	0.00500511	0.0008047724145
