Exponent granularity	Prům. čas (s) - větve a hranice	Prům. čas (s) - dyn. prog.	Prům. čas (s) - apx. řešení	Prům. rel. chyba (%) apx. řeš
0.50	0.30398171	230.34971686	0.00489186	0.0011725367021
0.75	0.30979061	223.48070824	0.00480179	0.0014422329819
1.00	0.29761509	222.42930660	0.00482685	0.0009801508561
1.25	0.30378266	222.40436568	0.00481878	0.0009183363784
1.50	0.29232283	215.46286534	0.00482362	0.0011081444856
1.75	0.28907466	222.03580862	0.00480958	0.0010586211011
2.00	0.27899653	217.91395786	0.00482429	0.0008916757965
2.25	0.29678460	225.52678100	0.00479549	0.0010771881285
2.50	0.29055680	222.67732438	0.00481354	0.0010959083215
2.75	0.27290004	215.65174936	0.00481276	0.0013620914708
