Maximální cena	Prům. čas (s) - větve a hranice	Prům. čas (s) - dyn. prog.	Prům. čas (s) - apx. řešení	Prům. rel. chyba (%) apx. řeš
5	0.44724913	005.74124994	0.00487081	0.0004247025423
10	0.32100912	012.69070214	0.00486328	0.0005295967690
15	0.32034541	021.75597468	0.00495352	0.0004713711570
20	0.30216222	032.10152936	0.00492451	0.0005562086844
25	0.29622792	043.32988946	0.00488377	0.0008094164771
30	0.29411846	054.14094018	0.00492304	0.0007368531477
35	0.28404716	066.39330640	0.00494370	0.0006562415249
40	0.27319621	080.53668164	0.00493555	0.0006920705106
45	0.29175820	091.16390176	0.00491008	0.0012768926809
50	0.27078742	102.01213136	0.00486965	0.0010319250198
