Maximální váha	Prům. čas (s) - větve a hranice	Prům. čas (s) - dyn. prog.	Prům. čas (s) - apx. řešení	Prům. rel. chyba (%) apx. řeš
75	0.28141321	230.30450676	0.00489340	0.0010549854159
100	0.27867426	226.90410078	0.00492829	0.0007542247593
125	0.29462519	229.34835102	0.00486787	0.0016159077802
150	0.28605423	231.61063644	0.00494220	0.0006623071477
175	0.28545064	232.59945574	0.00488301	0.0011708448401
200	0.28323823	235.12952852	0.00493032	0.0009703289543
225	0.28703578	233.69276528	0.00489383	0.0010679589803
250	0.29585786	242.08835690	0.00496436	0.0008778243090
275	0.26362154	229.44855598	0.00488854	0.0006708503385
300	0.29987725	230.84148048	0.00492931	0.0012580603196
